u,v,Dij
5,649,0.041726618705035974
5,654,0.039942528735632185
5,655,0.04357656731757451
5,676,0.03726053639846743
5,686,0.04195804195804196
5,702,0.038734057628719884
5,704,0.042958459979736574
5,715,0.0399313009875483
5,722,0.04149723699301428
5,738,0.03987667009249743
5,750,0.04185396064329238
5,758,0.0390032502708559
5,762,0.04141829393627955
5,775,0.03905703725901508
5,800,0.04045549895115373
5,802,0.04072948328267477
5,807,0.04235055724417427
5,808,0.04285714285714286
5,825,0.042353411247627606
5,858,0.04182939362795478
5,869,0.04214792299898683
5,884,0.04205374088502647
5,891,0.040184994861253855
5,895,0.04154002026342452
5,911,0.041071604451886144
5,914,0.0403821530582094
5,936,0.040596094552929084
5,954,0.04315253221456398
5,972,0.040184994861253855
5,981,0.039773895169578626
5,998,0.04022289766970618
6,10,0.04064554692169755
6,11,0.03795628598580133
6,12,0.04849279161205767
6,13,0.03753968253968254
6,15,0.04321350355216068
6,16,0.04932991160536071
6,17,0.04165471066475371
6,22,0.04571474643231476
6,24,0.04976415094339623
6,25,0.052054794520547946
6,26,0.050544662309368195
6,27,0.06086956521739131
6,29,0.06368520859671302
6,30,0.058376649340263896
6,31,0.05295238095238095
6,34,0.045458164158904545
6,37,0.05673175745118191
6,40,0.05298926425686989
6,45,0.051520176893311224
6,51,0.05070967741935484
6,53,0.05026647286821705
6,56,0.06336088154269973
6,58,0.05171996124031008
6,63,0.058804258804258804
6,65,0.03776792313377679
6,67,0.05384126984126984
6,77,0.0500738188976378
6,83,0.04734326162897592
6,88,0.05193152903076567
6,93,0.0547673531655225
6,95,0.054690204222914506
6,101,0.046620046620046623
6,116,0.05001139211665528
6,123,0.048622589531680444
6,128,0.0481147351376359
6,129,0.05374328208973878
6,131,0.04695813092759658
6,132,0.04556664709336465
6,133,0.04930901050304035
6,136,0.04731440757030521
6,142,0.05432868175044032
6,143,0.05403447776329132
6,144,0.046628937007874016
6,153,0.04931129476584022
6,173,0.05199350081239845
6,181,0.054873054873054876
6,182,0.05365126676602087
6,185,0.05246523388116309
6,198,0.05964912280701754
6,208,0.056467181467181465
6,214,0.05350140056022409
6,230,0.05601965601965602
6,241,0.06286102616377846
6,257,0.04956558894744338
6,276,0.057432432432432436
6,286,0.05641592920353982
6,298,0.048898071625344354
6,307,0.05421184320266889
6,327,0.05871559633027523
6,328,0.04912280701754386
6,329,0.04896421845574388
6,331,0.05228838582677165
6,345,0.053726453726453724
6,357,0.0552006552006552
6,359,0.05084033613445378
6,375,0.05788156797331109
6,421,0.05092376960099364
6,422,0.05308924485125858
6,427,0.060114660114660115
6,432,0.05325537294563843
6,433,0.05283724091063541
6,442,0.05436629289840299
6,447,0.05421785421785422
6,449,0.05007496251874063
6,461,0.05309734513274336
6,493,0.05357142857142857
6,504,0.05520941502249913
6,520,0.05691471287801563
6,529,0.05814905814905815
6,537,0.05323505323505324
6,539,0.05621351125938282
6,547,0.05257985257985258
6,566,0.05433159073935773
6,579,0.05368671423717295
6,606,0.05713278081467114
6,636,0.05170975813177648
6,639,0.05448774466584377
6,659,0.053189577717879605
6,730,0.055036855036855035
6,736,0.05572209486862987
6,741,0.054344063689858085
6,751,0.05088495575221239
